# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
远,遠,yuǎn,"far
distant",他们走远了，雪听到，男人说：“你没有名字，我就叫你八两吧！,他們走遠了，雪聽到，男人說：“你沒有名字，我就叫你八兩吧！,tā men zǒu yuǎn le ， xuě tīng dào ， nán rén shuō ： “ nǐ méi yǒu míng zi ， wǒ jiù jiào nǐ bā liǎng ba ！,"They walked into the distance. The snow heard the man say, “You have no name. I’ll call you Baliang then!"
大声,大聲,dà shēng,"loud voice
loudly",他看了看还在下的雪，大声说：“走，我们回去。”,他看了看還在下的雪，大聲說：“走，我們回去。”,tā kàn le kàn hái zài xià de xuě ， dà shēng shuō ： “ zǒu ， wǒ men huí qù 。 ”,"He looked at the snow that was still falling and said loudly, “Let’s go. We’re heading home.”"
半斤八两,半斤八兩,bàn jīn bā liǎng,"six of one, half a dozen of the other
two of a kind
(from the historical Chinese measurement system, wherein one 斤 was equal to 16 两|兩.",男人笑了，说：“我们是半斤八两，都是没家的人。”,男人笑了，說：“我們是半斤八兩，都是沒家的人。”,nán rén xiào le ， shuō ： “ wǒ men shì bàn jīn bā liǎng ， dōu shì méi jiā de rén 。 ”,"The man laughed, saying, “We are two of a kind. Neither of us have a family.”"
叫声,叫聲,jiào shēng,sounds produced by birds/animals,大狗叫了几声。大狗的叫声不大，但男人听懂了，,大狗叫了幾聲。大狗的叫聲不大，但男人聽懂了，,dà gǒu jiào le jǐ shēng 。 dà gǒu de jiào shēng bú dà ， dàn nán rén tīng dǒng le ，,"The big dog barked a few times. The big dog’s bark wasn’t loud, but the man understood."
声,聲,shēng,classifier for sounds,大狗叫了几声。大狗的叫声不大，但男人听懂了，,大狗叫了幾聲。大狗的叫聲不大，但男人聽懂了，,dà gǒu jiào le jǐ shēng 。 dà gǒu de jiào shēng bú dà ， dàn nán rén tīng dǒng le ，,"The big dog barked a few times. The big dog’s bark wasn’t loud, but the man understood."
半斤,半斤,bàn jīn,"Banjin, name",三、半斤和八两,三、半斤和八兩,sān 、 bàn jīn hé bā liǎng,3. Banjin and Baliang
妻子,妻子,qī zi,wife,我的妻子和孩子都不在了，我没有家，你——”他问：“你真的喜欢我吗？”,我的妻子和孩子都不在了，我沒有家，你——”他問：“你真的喜歡我嗎？”,wǒ de qī zi hé hái zi dōu bú zài le ， wǒ méi yǒu jiā ， nǐ — — ” tā wèn ： “ nǐ zhēn de xǐ huan wǒ ma ？ ”,"My wife and child are no longer with me. I don’t have a family. Do you …” he asked, “Do you really like me?”"
星星,星星,xīng xing,star in the sky,女孩很漂亮，眼睛里有星星，她是一个好女孩。,女孩很漂亮，眼睛裡有星星，她是一個好女孩。,nǚ hái hěn piào liang ， yǎn jing lǐ yǒu xīng xing ， tā shì yí ge hǎo nǚ hái 。,The girl was very beautiful. There were stars in her eyes. She was a good girl.
声说,聲說,shēng shuō,to narrate,“让狗狗和你回家吧！”女孩大声说。,“讓狗狗和你回家吧！”女孩大聲說。,“ ràng gǒu gǒu hé nǐ huí jiā ba ！ ” nǚ hái dà shēng shuō 。,“Let the dog go home with you!” the girl said loudly.
有时候,有時候,yǒu shí hou,sometimes,大狗有时候睡在路边，有时候坐在路边，有时候在路上慢慢地走着。,大狗有時候睡在路邊，有時候坐在路邊，有時候在路上慢慢地走著。,dà gǒu yǒu shí hou shuì zài lù biān ， yǒu shí hou zuò zài lù biān ， yǒu shí hou zài lù shang màn man de zǒu zhe 。,"The big dog sometimes slept on the side of the road, sometimes sat on the side of the road, and sometimes walked slowly on the road."
条,條,tiáo,classifier for long and thin objects or animals,路边有条狗。狗很大，睡在雨里，也是又冷又累。,路邊有條狗。狗很大，睡在雨裡，也是又冷又累。,lù biān yǒu tiáo gǒu 。 gǒu hěn dà ， shuì zài yǔ lǐ ， yě shì yòu lěng yòu lèi 。,There was a dog by the side of the road. The dog was very big and was sleeping in the rain. He was also cold and tired.
身体,身體,shēn tǐ,one’s health,男人的身体不太好，他又冷又累，慢慢地走着。,男人的身體不太好，他又冷又累，慢慢地走著。,nán rén de shēn tǐ bú tài hǎo ， tā yòu lěng yòu lèi ， màn man de zǒu zhe 。,"The man’s health was not good. He was cold and tired, and he walked slowly."
关门,關門,guān mén,"to close a door
(of a shop etc) to close (for the night, or permanently)",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
路边,路邊,lù biān,"curb
roadside",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
商店,商店,shāng diàn,"store
shop",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
路上,路上,lù shang,"on the road
on a journey",路上没有人，路边的商店也都关门了。,路上沒有人，路邊的商店也都關門了。,lù shang méi yǒu rén ， lù biān de shāng diàn yě dōu guān mén le 。,"There was nobody on the road, and the shops by the side of the road were all closed."
但,但,dàn,"but
however",下雨了，虽然雨不大，但天气很冷。,下雨了，雖然雨不大，但天氣很冷。,xià yǔ le ， suī rán yǔ bú dà ， dàn tiān qì hěn lěng 。,"It was raining. Although the rain wasn’t heavy, the weather was very cold."
虽然,雖然,suī rán,"although
even though",下雨了，虽然雨不大，但天气很冷。,下雨了，雖然雨不大，但天氣很冷。,xià yǔ le ， suī rán yǔ bú dà ， dàn tiān qì hěn lěng 。,"It was raining. Although the rain wasn’t heavy, the weather was very cold."
电车,電車,diàn chē,"tram
tramcar
streetcar",晚上十一点。电车来了，一个男人下了车。,晚上十一點。電車來了，一個男人下了車。,wǎn shang shí yī diǎn 。 diàn chē lái le ， yí ge nán rén xià le chē 。,"Eleven o’clock in the evening. The tram arrived, and a man got off."
万,萬,wàn,ten thousand,我爸爸说：“十万块钱，怎么了？”,我爸爸說：“十萬塊錢，怎麼了？”,wǒ bà ba shuō ： “ shí wàn kuài qián ， zěn me le ？”,"My dad said, “100,000 yuan. What’s up?”"
让,讓,ràng,"to make
to cause",我也想让我爸爸高兴。我问我爸爸：“爸爸，你工作一天能有多少钱？”,我也想讓我爸爸高興。我問我爸爸：“爸爸，你工作一天能有多少錢？”,wǒ yě xiǎng ràng wǒ bà ba gāo xìng 。 wǒ wèn wǒ bà ba ： “ bà ba ， nǐ gōng zuò yì tiān néng yǒu duō shao qián ？”,"I also wanted to make my dad happy. I asked my dad, “Dad, how much money do you earn from working for one day?”"
陪陪,陪陪,péi péi,"to accompany
to assist",我可以买你的一天吗？我想你多陪陪我。”,我可以買你的一天嗎？我想你多陪陪我。”,wǒ kě yǐ mǎi nǐ de yì tiān ma ？ wǒ xiǎng nǐ duō péi péi wǒ 。”,Can I buy one day from you? I want you to spend more time with me.”
存,存,cún,"to deposit
to store
to keep",我同学说：“这是1000块钱，我存了好几个月了。,我同學說：“這是1000塊錢，我存了好幾個月了。,wǒ tóng xué shuō ： “ zhè shì 1000 kuài qián ， wǒ cún le hǎo jǐ ge yuè le 。,"My classmate said, “Here is 1,000 yuan, I have been saving up for quite a few months now."
冬天,冬天,dōng tiān,winter,保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
秋天,秋天,qiū tiān,"autumn
fall",保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
夏天,夏天,xià tiān,summer,保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
春天,春天,chūn tiān,spring (season),保罗：春天、夏天、秋天和冬天。,保羅：春天、夏天、秋天和冬天。,bǎo luó ： chūn tiān 、 xià tiān 、 qiū tiān hé dōng tiān 。,"Paul: Spring, summer, autumn, and winter."
