# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
辣,辣,là,hot (spicy),如果您喜欢吃辣，我们店的宫保鸡丁也很不错。,如果您喜歡吃辣，我們店的宮保雞丁也很不錯。,rú guǒ nín xǐ huan chī là ， wǒ men diàn de gōng bǎo jī dīng yě hěn bú cuò 。,"If you like spicy food, our Kung Pao chicken is also very good."
料理,料理,liào lǐ,"cuisine
dish",服务员：我们饭店的炸酱面和北京烤鸭很好吃，这两个都是北京很有名的料理。,服務員：我們飯店的炸醬麵和北京烤鴨很好吃，這兩個都是北京很有名的料理。,fú wù yuán ： wǒ men fàn diàn de zhá jiàng miàn hé běi jīng kǎo yā hěn hǎo chī ， zhè liǎng ge dōu shì běi jīng hěn yǒu míng de liào lǐ 。,Waiter: Our restaurant’s noodles with soybean paste and Peking duck are really tasty. These two are famous dishes in Beijing.
炸酱面,炸醬麵,zhá jiàng miàn,ground pork simmered with salty fermented soybean paste (or other sauce) over thick wheat noodles,服务员：我们饭店的炸酱面和北京烤鸭很好吃，这两个都是北京很有名的料理。,服務員：我們飯店的炸醬麵和北京烤鴨很好吃，這兩個都是北京很有名的料理。,fú wù yuán ： wǒ men fàn diàn de zhá jiàng miàn hé běi jīng kǎo yā hěn hǎo chī ， zhè liǎng ge dōu shì běi jīng hěn yǒu míng de liào lǐ 。,Waiter: Our restaurant’s noodles with soybean paste and Peking duck are really tasty. These two are famous dishes in Beijing.
没关系,沒關係,méi guān xi,"it doesn't matter
never mind",爱米：好的，没关系！请问你有什么推荐的菜吗？,愛米：好的，沒關係！請問你有什麼推薦的菜嗎？,ài mǐ ： hǎo de ， méi guān xi ！ qǐng wèn nǐ yǒu shén me tuī jiàn de cài ma ？,"Amy: Okay, no problem! Do you have any recommended dishes?"
菜单,菜單,cài dān,menu,服务员：对不起，我们没有英文菜单。,服務員：對不起，我們沒有英文菜單。,fú wù yuán ： duì bu qǐ ， wǒ men méi yǒu yīng wén cài dān 。,"Waiter: Sorry, we don’t have an English menu."
刀叉,刀叉,dāo chā,knife and fork,你们这儿有刀叉吗？,你們這兒有刀叉嗎？,nǐ men zhè‘r yǒu dāo chā ma ？,Do You Have Any Knives and Forks Here?
祝,祝,zhù,"to wish
to express good wishes
to pray",售票员：不客气。祝您玩得开心！,售票員：不客氣。祝您玩得開心！,shòu piào yuán ： bú kè qi 。 zhù nín wán de kāi xīn ！,Ticket seller: You’re welcome. Have fun!
直,直,zhí,"straight
to straighten",售票员：地图在那儿，您直走就可以看到了。中文的，英文的都有。,售票員：地圖在那兒，您直走就可以看到了。中文的，英文的都有。,shòu piào yuán ： dì tú zài nà'r ， nín zhí zǒu jiù kě yǐ kàn dào le 。 zhōng wén de ， yīng wén de dōu yǒu 。,"Ticket seller: The maps are over there. Just go straight, and you’ll see them. There are maps in Chinese and English."
地图,地圖,dì tú,map,爱米：谢谢你。请问，这儿有公园的地图吗？,愛米：謝謝你。請問，這兒有公園的地圖嗎？,ài mǐ ： xiè xie nǐ 。 qǐng wèn ， zhè‘r yǒu gōng yuán de dì tú ma ？,"Amy: Thank you. Excuse me, is there a map of the park here?"
售票员,售票員,shòu piào yuán,ticket seller,售票员：您好，一张门票二十块。,售票員：您好，一張門票二十塊。,shòu piào yuán ： nín hǎo ， yì zhāng mén piào èr shí kuài 。,"Ticket seller: Hello, one ticket is 20 yuan."
门票,門票,mén piào,"ticket (for theater, cinema etc)",爱米：你好，我想买一张公园的门票。,愛米：你好，我想買一張公園的門票。,ài mǐ ： nǐ hǎo ， wǒ xiǎng mǎi yì zhāng gōng yuán de mén piào 。,"Amy: Hello, I want to buy a park ticket."
先,先,xiān,"first
earlier
before",明天我先去北海公园和后海看看。,明天我先去北海公園和後海看看。,míng tiān wǒ xiān qù běi hǎi gōng yuán hé hòu hǎi kàn kan 。,I will first go to have a look at Beihai Park and Houhai tomorrow.
年轻人,年輕人,nián qīng rén,young person,后海那儿的胡同很有名。那儿还有很多酒吧、茶馆，很多年轻人都喜欢。,後海那兒的胡同很有名。那兒還有很多酒吧、茶館，很多年輕人都喜歡。,hòu hǎi nà'r de hú tòng hěn yǒu míng 。 nà'r hái yǒu hěn duō jiǔ bā 、 chá guǎn ， hěn duō nián qīng rén dōu xǐ huan 。,Houhai’s hutongs are very famous. There you’ll find lots of bars and teahouses. Lots of young people like it.
茶馆,茶館,chá guǎn,teahouse,后海那儿的胡同很有名。那儿还有很多酒吧、茶馆，很多年轻人都喜欢。,後海那兒的胡同很有名。那兒還有很多酒吧、茶館，很多年輕人都喜歡。,hòu hǎi nà'r de hú tòng hěn yǒu míng 。 nà'r hái yǒu hěn duō jiǔ bā 、 chá guǎn ， hěn duō nián qīng rén dōu xǐ huan 。,Houhai’s hutongs are very famous. There you’ll find lots of bars and teahouses. Lots of young people like it.
酒吧,酒吧,jiǔ bā,"bar
pub
saloon",后海那儿的胡同很有名。那儿还有很多酒吧、茶馆，很多年轻人都喜欢。,後海那兒的胡同很有名。那兒還有很多酒吧、茶館，很多年輕人都喜歡。,hòu hǎi nà'r de hú tòng hěn yǒu míng 。 nà'r hái yǒu hěn duō jiǔ bā 、 chá guǎn ， hěn duō nián qīng rén dōu xǐ huan 。,Houhai’s hutongs are very famous. There you’ll find lots of bars and teahouses. Lots of young people like it.
胡同,胡同,hú tòng,"hutong (a narrow street, lane, or alley, most commonly in Beijing)",后海那儿的胡同很有名。那儿还有很多酒吧、茶馆，很多年轻人都喜欢。,後海那兒的胡同很有名。那兒還有很多酒吧、茶館，很多年輕人都喜歡。,hòu hǎi nà'r de hú tòng hěn yǒu míng 。 nà'r hái yǒu hěn duō jiǔ bā 、 chá guǎn ， hěn duō nián qīng rén dōu xǐ huan 。,Houhai’s hutongs are very famous. There you’ll find lots of bars and teahouses. Lots of young people like it.
北海公园,北海公園,běi hǎi gōng yuán,"Beihai Park, a public park and former imperial garden located in the northwestern part of the Imperial City, Beijing",本：北京好玩儿的地方很多。你可以去长城，北海公园，还有后海。,本：北京好玩兒的地方很多。你可以去長城，北海公園，還有後海。,běn ： běi jīng hǎo wán‘r de dì fang hěn duō 。 nǐ kě yǐ qù cháng chéng ， běi hǎi gōng yuán ， hái yǒu hòu hǎi 。,"Ben: Beijing has lots of fun places. You can go to the Great Wall, Beihai Park, as well as Houhai."
那儿,那兒,nà'r,"there
over there",后海那儿的胡同很有名。那儿还有很多酒吧、茶馆，很多年轻人都喜欢。,後海那兒的胡同很有名。那兒還有很多酒吧、茶館，很多年輕人都喜歡。,hòu hǎi nà'r de hú tòng hěn yǒu míng 。 nà'r hái yǒu hěn duō jiǔ bā 、 chá guǎn ， hěn duō nián qīng rén dōu xǐ huan 。,Houhai’s hutongs are very famous. There you’ll find lots of bars and teahouses. Lots of young people like it.
长城,長城,cháng chéng,the Great Wall,本：北京好玩儿的地方很多。你可以去长城，北海公园，还有后海。,本：北京好玩兒的地方很多。你可以去長城，北海公園，還有後海。,běn ： běi jīng hǎo wán‘r de dì fang hěn duō 。 nǐ kě yǐ qù cháng chéng ， běi hǎi gōng yuán ， hái yǒu hòu hǎi 。,"Ben: Beijing has lots of fun places. You can go to the Great Wall, Beihai Park, as well as Houhai."
故宫,故宮,gù gōng,"the Forbidden City
the Palace Museum (abbr. for 故宫博物院)",爱米：我去了天安门、故宫。我还吃了北京烤鸭，很好吃。,愛米：我去了天安門、故宮。我還吃了北京烤鴨，很好吃。,ài mǐ ： wǒ qù le tiān ān mén 、 gù gōng 。 wǒ hái chī le běi jīng kǎo yā ， hěn hǎo chī 。,Amy: I have been to Tian’anmen Square and the Forbidden City. I also ate Peking duck. It was delicious.
天安门,天安門,tiān ān mén,"Tian’anmen, Gate of Heavenly Peace
Short for 天安门广场|天安門廣場 (“Tian’anmen Square”)",爱米：我去了天安门、故宫。我还吃了北京烤鸭，很好吃。,愛米：我去了天安門、故宮。我還吃了北京烤鴨，很好吃。,ài mǐ ： wǒ qù le tiān ān mén 、 gù gōng 。 wǒ hái chī le běi jīng kǎo yā ， hěn hǎo chī 。,Amy: I have been to Tian’anmen Square and the Forbidden City. I also ate Peking duck. It was delicious.
开心,開心,kāi xīn,"to feel happy
to rejoice
to have a great time",本：爱米，怎么样？你在北京玩得开心吗？,本：愛米，怎麼樣？你在北京玩得開心嗎？,běn ： ài mǐ ， zěn me yàng ？ nǐ zài běi jīng wán de kāi xīn ma ？,"Ben: Amy, how are you doing? Are you having fun in Beijing?"
好玩儿,好玩兒,hǎo wán‘r,"amusing
fun
interesting",北京有什么好玩儿的地方？,北京有什麼好玩兒的地方？,běi jīng yǒu shén me hǎo wán‘r de dì fang ？,What Fun Places Are There in Beijing?
这样,這樣,zhè yàng,"this kind of
like this",这样您就不用出去了。,這樣您就不用出去了。,zhè yàng nín jiù bú yòng chū qù le 。,That way you don’t have to go out.
外卖,外賣,wài mài,"delivery (of food from a restaurant)
takeout",前台：有，在那儿。您也可以打电话给天天饭店订外卖，请他们送到酒店来，,前臺：有，在那兒。您也可以打電話給天天飯店訂外賣，請他們送到酒店來，,qián tái ： yǒu ， zài nà'r 。 nín yě kě yǐ dǎ diàn huà gěi tiān tiān fàn diàn dìng wài mài ， qǐng tā men sòng dào jiǔ diàn lái ，,"Front desk: Yes, it’s over there. You can also call Tian Tian Restaurant to order takeout and have them deliver it to the hotel."
伞,傘,sǎn,"umbrella
parasol",爱米：好的，谢谢！啊，外面下雨了，请问您有伞吗？,愛米：好的，謝謝！啊，外面下雨了，請問您有傘嗎？,ài mǐ ： hǎo de ， xiè xie ！ a ， wài miàn xià yǔ le ， qǐng wèn nín yǒu sǎn ma ？,"Amy: Alright, thank you! Oh, it’s raining outside. Do you have an umbrella?"
试试,試試,shì shi,"to test
to try out",还有，天天饭店的饺子也很好吃，你可以试试。,還有，天天飯店的餃子也很好吃，你可以試試。,hái yǒu ， tiān tiān fàn diàn de jiǎo zi yě hěn hǎo chī ， nǐ kě yǐ shì shi 。,"Also, the dumplings at Tian Tian Restaurant are very delicious. You can give them a try."
饺子,餃子,jiǎo zi,"crescent-shaped dumpling
jiaozi",还有，天天饭店的饺子也很好吃，你可以试试。,還有，天天飯店的餃子也很好吃，你可以試試。,hái yǒu ， tiān tiān fàn diàn de jiǎo zi yě hěn hǎo chī ， nǐ kě yǐ shì shi 。,"Also, the dumplings at Tian Tian Restaurant are very delicious. You can give them a try."
北京烤鸭,北京烤鴨,běi jīng kǎo yā,Peking duck,前台：在北京，一定要吃“北京烤鸭”。,前臺：在北京，一定要吃“北京烤鴨”。,qián tái ： zài běi jīng ， yí dìng yào chī “ běi jīng kǎo yā ” 。,"Front desk: In Beijing, you must eat “Peking duck”."
一定,一定,yí dìng,"certainly
necessarily",前台：在北京，一定要吃“北京烤鸭”。,前臺：在北京，一定要吃“北京烤鴨”。,qián tái ： zài běi jīng ， yí dìng yào chī “ běi jīng kǎo yā ” 。,"Front desk: In Beijing, you must eat “Peking duck”."
推荐,推薦,tuī jiàn,"to recommend
recommendation",爱米：请问您有什么推荐的菜吗？,愛米：請問您有什麼推薦的菜嗎？,ài mǐ ： qǐng wèn nín yǒu shén me tuī jiàn de cài ma ？,Amy: Do you have any dishes to recommend?
便宜,便宜,pián yi,"cheap
inexpensive",那儿的饭菜又便宜又好吃。,那兒的飯菜又便宜又好吃。,nà'r de fàn cài yòu pián yi yòu hǎo chī 。,The food there is both cheap and tasty.
左,左,zuǒ,left,前台：您出酒店，往右一直走，在第一个十字路口，往左拐。,前臺：您出酒店，往右一直走，在第一個十字路口，往左拐。,qián tái ： nín chū jiǔ diàn ， wǎng yòu yì zhí zǒu ， zài dì yī ge shí zì lù kǒu ， wǎng zuǒ guǎi 。,"Front desk: Exit the hotel and keep walking to the right. At the first intersection, turn left."
拐,拐,guǎi,to turn (a corner etc),前台：您出酒店，往右一直走，在第一个十字路口，往左拐。,前臺：您出酒店，往右一直走，在第一個十字路口，往左拐。,qián tái ： nín chū jiǔ diàn ， wǎng yòu yì zhí zǒu ， zài dì yī ge shí zì lù kǒu ， wǎng zuǒ guǎi 。,"Front desk: Exit the hotel and keep walking to the right. At the first intersection, turn left."
十字路口,十字路口,shí zì lù kǒu,"crossroads
intersection",前台：您出酒店，往右一直走，在第一个十字路口，往左拐。,前臺：您出酒店，往右一直走，在第一個十字路口，往左拐。,qián tái ： nín chū jiǔ diàn ， wǎng yòu yì zhí zǒu ， zài dì yī ge shí zì lù kǒu ， wǎng zuǒ guǎi 。,"Front desk: Exit the hotel and keep walking to the right. At the first intersection, turn left."
一直,一直,yì zhí,"continuously
all along",前台：您出酒店，往右一直走，在第一个十字路口，往左拐。,前臺：您出酒店，往右一直走，在第一個十字路口，往左拐。,qián tái ： nín chū jiǔ diàn ， wǎng yòu yì zhí zǒu ， zài dì yī ge shí zì lù kǒu ， wǎng zuǒ guǎi 。,"Front desk: Exit the hotel and keep walking to the right. At the first intersection, turn left."
往,往,wǎng,"to go (in a direction)
to
towards",前台：您出酒店，往右一直走，在第一个十字路口，往左拐。,前臺：您出酒店，往右一直走，在第一個十字路口，往左拐。,qián tái ： nín chū jiǔ diàn ， wǎng yòu yì zhí zǒu ， zài dì yī ge shí zì lù kǒu ， wǎng zuǒ guǎi 。,"Front desk: Exit the hotel and keep walking to the right. At the first intersection, turn left."
附近,附近,fù jìn,"(in the) vicinity
nearby",这儿附近有什么吃的吗？,這兒附近有什麼吃的嗎？,zhè‘r fù jìn yǒu shén me chī de ma ？,Are There Any Places to Eat Nearby?
拿,拿,ná,"to take
to receive",前台：有。wifi的密码在门卡上，请您拿好。,前臺：有。wifi的密碼在門卡上，請您拿好。,qián tái ： yǒu 。 wifi de mì mǎ zài mén kǎ shang ， qǐng nín ná hǎo 。,Front desk: Yes. The wifi password is on the key card. Please hold onto it.
密码,密碼,mì mǎ,"code
password",前台：有。wifi的密码在门卡上，请您拿好。,前臺：有。wifi的密碼在門卡上，請您拿好。,qián tái ： yǒu 。 wifi de mì mǎ zài mén kǎ shang ， qǐng nín ná hǎo 。,Front desk: Yes. The wifi password is on the key card. Please hold onto it.
早餐,早餐,zǎo cān,breakfast,您订的房间有早餐，早餐时间是每天早上7点到10点。,您訂的房間有早餐，早餐時間是每天早上7點到10點。,nín dìng de fáng jiān yǒu zǎo cān ， zǎo cān shí jiān shì měi tiān zǎo shang 7 diǎn dào 10 diǎn 。,The room you booked includes breakfast. Breakfast time is from 7 am to 10 am every day.
电梯,電梯,diàn tī,"elevator
escalator",您的房间号是607，在六楼。请从这儿坐电梯上六楼。,您的房間號是607，在六樓。請從這兒坐電梯上六樓。,nín de fáng jiān hào shì 607 ， zài liù lóu 。 qǐng cóng zhè‘r zuò diàn tī shàng liù lóu 。,"Your room number is 607, on the sixth floor. Please take the elevator from here to the sixth floor."
楼,樓,lóu,floor (of a building),您的房间号是607，在六楼。请从这儿坐电梯上六楼。,您的房間號是607，在六樓。請從這兒坐電梯上六樓。,nín de fáng jiān hào shì 607 ， zài liù lóu 。 qǐng cóng zhè‘r zuò diàn tī shàng liù lóu 。,"Your room number is 607, on the sixth floor. Please take the elevator from here to the sixth floor."
刷卡,刷卡,shuā kǎ,"to use a credit card (or swipe card, smart card etc)",爱米：好的。可以刷卡吗？,愛米：好的。可以刷卡嗎？,ài mǐ ： hǎo de 。 kě yǐ shuā kǎ ma ？,Amy: Okay. Can I pay by card?
一共,一共,yí gòng,altogether,您订了一个单人间，住九个晚上，一共是两千九百块。,您訂了一個單人間，住九個晚上，一共是兩千九百塊。,nín dìng le yí ge dān rén jiān ， zhù jiǔ ge wǎn shang ， yí gòng shì liǎng qiān jiǔ bǎi kuài 。,"You have booked a single room for nine nights for a total of 2,900 RMB."
单人间,單人間,dān rén jiān,single room (hotel),您订了一个单人间，住九个晚上，一共是两千九百块。,您訂了一個單人間，住九個晚上，一共是兩千九百塊。,nín dìng le yí ge dān rén jiān ， zhù jiǔ ge wǎn shang ， yí gòng shì liǎng qiān jiǔ bǎi kuài 。,"You have booked a single room for nine nights for a total of 2,900 RMB."
订,訂,dìng,"to order
to subscribe to (a newspaper, etc.)
to book (seats, tickets, etc.)",爱米：你好！我在Booking上订了一个房间，我叫爱米。,愛米：你好！我在Booking上訂了一個房間，我叫愛米。,ài mǐ ： nǐ hǎo ！ wǒ zài Booking shang dìng le yí ge fáng jiān ， wǒ jiào ài mǐ 。,Amy: Hello! I booked a room on Booking. My name is Amy.
前台,前臺,qián tái,"front desk
reception desk",前台：您好！请问有什么能帮您的吗？,前臺：您好！請問有什麼能幫您的嗎？,qián tái ： nín hǎo ！ qǐng wèn yǒu shén me néng bāng nín de ma ？,Front desk: Hello! Is there anything I can help you with?
入住,入住,rù zhù,to check in (at a hotel etc),入住酒店,入住酒店,rù zhù jiǔ diàn,Hotel Check-in
酒店,酒店,jiǔ diàn,"hotel
restaurant",入住酒店,入住酒店,rù zhù jiǔ diàn,Hotel Check-in
下班,下班,xià bān,"to finish work
to get off work",这个时间是下班时间，车很多，您再等等。,這個時間是下班時間，車很多，您再等等。,zhè ge shí jiān shì xià bān shí jiān ， chē hěn duō ， nín zài děng děng 。,"This time is when people are getting off work. There are a lot of cars, so just wait a but more."
空调,空調,kōng tiáo,air conditioning,司机：我关窗，开空调吧。,司機：我關窗，開空調吧。,sī jī ： wǒ guān chuāng ， kāi kōng tiáo ba 。,Driver: I’ll close the window and turn on the air conditioning.
窗,窗,chuāng,"window
shutter",爱米：不好意思，我有点儿晕车，请问能开窗吗？,愛米：不好意思，我有點兒暈車，請問能開窗嗎？,ài mǐ ： bù hǎo yì si ， wǒ yǒu diǎn'r yùn chē ， qǐng wèn néng kāi chuāng ma ？,"Amy: Sorry, I’m a bit carsick. Can you open the window, please?"
晕车,暈車,yùn chē,"to be carsick
(coll. also pronounced yūn chē)",爱米：不好意思，我有点儿晕车，请问能开窗吗？,愛米：不好意思，我有點兒暈車，請問能開窗嗎？,ài mǐ ： bù hǎo yì si ， wǒ yǒu diǎn'r yùn chē ， qǐng wèn néng kāi chuāng ma ？,"Amy: Sorry, I’m a bit carsick. Can you open the window, please?"
行李,行李,xíng li,luggage,司机：好的。行李我帮您放车后面。,司機：好的。行李我幫您放車後面。,sī jī ： hǎo de 。 xíng li wǒ bāng nín fàng chē hòu miàn 。,Driver: Okay. I’ll help you put your luggage in the back of the car.
放,放,fàng,"to put
to place",司机：好的。行李我帮您放车后面。,司機：好的。行李我幫您放車後面。,sī jī ： hǎo de 。 xíng li wǒ bāng nín fàng chē hòu miàn 。,Driver: Okay. I’ll help you put your luggage in the back of the car.
司机,司機,sī jī,"chauffeur
driver",司机：您好！您要去哪儿？,司機：您好！您要去哪兒？,sī jī ： nín hǎo ！ nín yào qù nǎ'r ？,Driver: Hello! Where are you going?
出租车,出租車,chū zū chē,taxi,我坐出租车,我坐出租車,wǒ zuò chū zū chē,I’m Taking a Taxi
机器,機器,jī qì,machine,本：没问题。如果不可以，机场里面有个机器，,本：沒問題。如果不可以，機場裡面有個機器，,běn ： méi wèn tí 。 rú guǒ bù kě yǐ ， jī chǎng lǐ miàn yǒu ge jī qì ，,"Ben: No problem. If you can’t, there’s a machine in the airport."
说明,說明,shuō míng,"explanation
directions
instructions",本：你用手机，找到airport-free-wifi，上面有说明。,本：你用手機，找到airport-free-wifi，上面有說明。,běn ： nǐ yòng shǒu jī ， zhǎo dào airport - free - wifi ， shàng miàn yǒu shuō míng 。,Ben: You use your phone to find airport-free-wifi. There are instructions there.
方便,方便,fāng biàn,"convenient
suitable",爱米：太谢谢你了！手机不能上网，真的很不方便。,愛米：太謝謝你了！手機不能上網，真的很不方便。,ài mǐ ： tài xiè xie nǐ le ！ shǒu jī bù néng shàng wǎng ， zhēn de hěn bù fāng biàn 。,Amy: Thank you so much! Not being able to access the internet on my phone is really very inconvenient.
会儿,會兒,huì'r,"a moment
a little while
(colloquially also pronounced huǐ'r)",本：好的，我等会儿发给你。,本：好的，我等會兒發給你。,běn ： hǎo de ， wǒ děng huì'r fā gěi nǐ 。,"Ben: Sure, I will send it to you in a moment."
上网,上網,shàng wǎng,"to go online
to connect to the Internet",能不能发给我？我现在手机不能上网。,能不能發給我？我現在手機不能上網。,néng bù néng fā gěi wǒ ？ wǒ xiàn zài shǒu jī bù néng shàng wǎng 。,Can you send it to me? My phone can’t access the internet right now.
机场,機場,jī chǎng,"airport
airfield",怎么用机场wifi？,怎麼用機場wifi？,zěn me yòng jī chǎng wifi ？,How Do You Use the Airport Wifi?
工作人员,工作人員,gōng zuò rén yuán,staff member,工作人员：好的，没问题。请问我能看一下你的护照吗？,工作人員：好的，沒問題。請問我能看一下你的護照嗎？,gōng zuò rén yuán ： hǎo de ， méi wèn tí 。 qǐng wèn wǒ néng kàn yí xià nǐ de hù zhào ma ？,"Staff member: Okay, no problem. May I see your passport, please?"
人民币,人民幣,rén mín bì,"Renminbi (RMB)
Chinese Yuan (CNY)",我想换人民币,我想換人民幣,wǒ xiǎng huàn rén mín bì,I Want to Change Money for Renminbi
换,換,huàn,"to exchange
to change (clothes etc)",我想换人民币,我想換人民幣,wǒ xiǎng huàn rén mín bì,I Want to Change Money for Renminbi
欢迎,歡迎,huān yíng,"welcome
to be well received",海关人员：好的。谢谢！这是你的护照，请拿好。欢迎你来中国。,海關人員：好的。謝謝！這是你的護照，請拿好。歡迎你來中國。,hǎi guān rén yuán ： hǎo de 。 xiè xie ！ zhè shì nǐ de hù zhào ， qǐng ná hǎo 。 huān yíng nǐ lái zhōng guó 。,Customs officer: Okay. Thank you! Here is your passport. Please hold onto it. Welcome to China.
申报,申報,shēn bào,"to report (to the authorities)
to declare (to customs)",海关人员：好的。你有什么东西要申报吗？,海關人員：好的。你有什麼東西要申報嗎？,hǎi guān rén yuán ： hǎo de 。 nǐ yǒu shén me dōng xi yào shēn bào ma ？,Customs officer: Okay. Do you have anything to declare?
宾馆,賓館,bīn guǎn,"guesthouse
hotel",爱米：我会住在宾馆。这个是宾馆的名字。,愛米：我會住在賓館。這個是賓館的名字。,ài mǐ ： wǒ huì zhù zài bīn guǎn 。 zhè ge shì bīn guǎn de míng zi 。,Amy: I’ll be staying at a hotel. This is the name of the hotel.
旅游,旅遊,lǚ yóu,"tourism
travel",爱米：我来中国旅游。,愛米：我來中國旅遊。,ài mǐ ： wǒ lái zhōng guó lǚ yóu 。,Amy: I’m coming to China to travel.
护照,護照,hù zhào,passport,海关人员：请问能给我看一下你的护照吗？,海關人員：請問能給我看一下你的護照嗎？,hǎi guān rén yuán ： qǐng wèn néng gěi wǒ kàn yí xià nǐ de hù zhào ma ？,"Customs officer: Can I see your passport, please?"
人员,人員,rén yuán,"staff
crew
personnel",海关人员：请问能给我看一下你的护照吗？,海關人員：請問能給我看一下你的護照嗎？,hǎi guān rén yuán ： qǐng wèn néng gěi wǒ kàn yí xià nǐ de hù zhào ma ？,"Customs officer: Can I see your passport, please?"
海关,海關,hǎi guān,customs (i.e. border crossing inspection),海关人员：请问能给我看一下你的护照吗？,海關人員：請問能給我看一下你的護照嗎？,hǎi guān rén yuán ： qǐng wèn néng gěi wǒ kàn yí xià nǐ de hù zhào ma ？,"Customs officer: Can I see your passport, please?"
当地,當地,dāng dì,"local
at the place in question",爱米：谢谢！我想问一下，我们到北京时，是当地时间几点呢？,愛米：謝謝！我想問一下，我們到北京時，是當地時間幾點呢？,ài mǐ ： xiè xie ！ wǒ xiǎng wèn yí xià ， wǒ men dào běi jīng shí ， shì dāng dì shí jiān jǐ diǎn ne ？,"Amy: Thank you! May I ask, what’s the local time when we arrive in Beijing?"
转机,轉機,zhuǎn jī,to change planes,乘务员：我们会在北京时间晚上七点到北京。您要转机吗？,乘務員：我們會在北京時間晚上七點到北京。您要轉機嗎？,chéng wù yuán ： wǒ men huì zài běi jīng shí jiān wǎn shang qī diǎn dào běi jīng 。 nín yào zhuǎn jī ma ？,Flight Attendant: We will arrive in Beijing at 7 pm Beijing time. Are you transferring to another flight?
爱米,愛米,ài mǐ,Amy (name),爱米：咖啡，谢谢！,愛米：咖啡，謝謝！,ài mǐ ： kā fēi ， xiè xie ！,"Amy: Coffee, thank you!"
乘务员,乘務員,chéng wù yuán,"attendant on an airplane, train, boat etc",乘务员：您好！您想喝点什么？我们有茶、咖啡、水和可乐。,乘務員：您好！您想喝點什麼？我們有茶、咖啡、水和可樂。,chéng wù yuán ： nín hǎo ！ nín xiǎng hē diǎn shén me ？ wǒ men yǒu chá 、 kā fēi 、 shuǐ hé kě lè 。,"Flight attendant: Hello! What would you like to drink? We have tea, coffee, water, and cola."
点餐,點餐,diǎn cān,"(at a restaurant) to order a meal
(of a waiter) to take an order",飞机点餐,飛機點餐,fēi jī diǎn cān,Ordering Food on the Plane
完蛋,完蛋,wán dàn,(coll.) to be done for,更有意思的是，如果一个人遇到了麻烦，他会说：“天啊，我完蛋了！”,更有意思的是，如果一個人遇到了麻煩，他會說：“天啊，我完蛋了！”,gèng yǒu yì si de shì ， rú guǒ yí ge rén yù dào le má fan ， tā huì shuō ： “ tiān ā ， wǒ wán dàn le ！”,"What’s more interesting, if someone gets into trouble, they can say, “Oh my God, I’m done for!”"
遇到,遇到,yù dào,"to meet
to run into
to come across",更有意思的是，如果一个人遇到了麻烦，他会说：“天啊，我完蛋了！”,更有意思的是，如果一個人遇到了麻煩，他會說：“天啊，我完蛋了！”,gèng yǒu yì si de shì ， rú guǒ yí ge rén yù dào le má fan ， tā huì shuō ： “ tiān ā ， wǒ wán dàn le ！”,"What’s more interesting, if someone gets into trouble, they can say, “Oh my God, I’m done for!”"
麻烦,麻煩,má fan,"inconvenient
troublesome",更有意思的是，如果一个人遇到了麻烦，他会说：“天啊，我完蛋了！”,更有意思的是，如果一個人遇到了麻煩，他會說：“天啊，我完蛋了！”,gèng yǒu yì si de shì ， rú guǒ yí ge rén yù dào le má fan ， tā huì shuō ： “ tiān ā ， wǒ wán dàn le ！”,"What’s more interesting, if someone gets into trouble, they can say, “Oh my God, I’m done for!”"
混蛋,混蛋,hún dàn,"scoundrel
bastard
wretch",如果人们觉得一个人有点坏、想不清楚事情，会说他是“混蛋”。,如果人們覺得一個人有點壞、想不清楚事情，會說他是“混蛋”。,rú guǒ rén men jué de yí ge rén yǒu diǎn huài 、 xiǎng bù qīng chu shì qing ， huì shuō tā shì “ hún dàn ”。,"If people think that someone is a bit bad and doesn’t think things through, they can say that they are a “scoundrel”."
清楚,清楚,qīng chu,"clear
distinct
to understand thoroughly",如果人们觉得一个人有点坏、想不清楚事情，会说他是“混蛋”。,如果人們覺得一個人有點壞、想不清楚事情，會說他是“混蛋”。,rú guǒ rén men jué de yí ge rén yǒu diǎn huài 、 xiǎng bù qīng chu shì qing ， huì shuō tā shì “ hún dàn ”。,"If people think that someone is a bit bad and doesn’t think things through, they can say that they are a “scoundrel”."
笨,笨,bèn,"stupid
foolish
silly",如果人们觉得一个人非常笨，会说他是“笨蛋”。,如果人們覺得一個人非常笨，會說他是“笨蛋”。,rú guǒ rén men jué de yí ge rén fēi cháng bèn ， huì shuō tā shì “ bèn dàn ”。,"If people think that someone is extremely stupid, they can say that they are an “idiot”."
坏,壞,huài,"bad
spoiled
broken",如果人们觉得一个人很坏，会说他是个“坏蛋”、“大坏蛋”。,如果人們覺得一個人很壞，會說他是個“壞蛋”、“大壞蛋”。,rú guǒ rén men jué de yí ge rén hěn huài ， huì shuō tā shì ge “ huài dàn ”、 “ dà huài dàn ”。,"If people think that someone is very bad, they can say that they are a “bad egg” or a “really bad egg”."
